train_loss,epoch,step,val_loss,test_loss
1.8400057554244995,0,49,,
1.6784747838974,0,99,,
3.720500946044922,0,149,,
1.608711838722229,0,199,,
0.9799596667289734,0,249,,
0.9453895688056946,0,299,,
0.9781518578529358,0,349,,
0.7768990993499756,0,399,,
0.6641174554824829,0,449,,
0.6296810507774353,0,499,,
0.49591580033302307,0,549,,
0.3809030055999756,0,599,,
0.7744008898735046,0,649,,
0.7930408120155334,0,699,,
0.7268058657646179,0,749,,
0.6902093887329102,0,799,,
0.5251677632331848,0,849,,
0.6599884629249573,0,899,,
0.7290933728218079,0,949,,
0.7520297169685364,0,999,,
0.650992214679718,0,1049,,
0.723510205745697,0,1099,,
0.634701669216156,0,1149,,
0.7287558913230896,0,1199,,
0.6635642647743225,0,1249,,
1.0057945251464844,0,1299,,
0.6843650341033936,0,1349,,
0.4749546945095062,0,1399,,
0.9465193748474121,0,1449,,
0.6804679036140442,0,1499,,
0.7080264091491699,0,1549,,
0.7440667152404785,0,1599,,
0.6982276439666748,0,1649,,
0.5871827006340027,0,1699,,
0.5576911568641663,0,1749,,
0.14005155861377716,0,1799,,
0.5906112790107727,0,1849,,
0.415895938873291,0,1899,,
0.5986685752868652,0,1949,,
0.535240113735199,0,1999,,
0.5623788237571716,0,2049,,
0.5736612677574158,0,2099,,
0.49088382720947266,0,2149,,
0.5161439776420593,0,2199,,
0.3812621533870697,0,2249,,
0.4368121922016144,0,2299,,
0.493301123380661,0,2349,,
0.5893235206604004,0,2399,,
0.36237335205078125,0,2449,,
0.2582487463951111,0,2499,,
0.29120826721191406,0,2549,,
0.584877073764801,0,2599,,
0.6316537261009216,0,2649,,
0.4104163646697998,0,2699,,
0.3087913691997528,0,2749,,
0.4318632185459137,0,2799,,
,0,2811,0.48286378383636475,
0.5666227340698242,1,2849,,
0.47088465094566345,1,2899,,
0.5336101055145264,1,2949,,
0.7286872267723083,1,2999,,
0.661074697971344,1,3049,,
0.5466766953468323,1,3099,,
0.1360533982515335,1,3149,,
