train_loss,step,epoch,val_loss,test_loss
1.0573915243148804,49,0,,
1.0574822425842285,99,0,,
1.023648977279663,149,0,,
1.0165270566940308,199,0,,
0.9353060126304626,249,0,,
0.2588973939418793,299,0,,
0.17976659536361694,349,0,,
0.007589363493025303,399,0,,
0.6067588925361633,449,0,,
0.009999267756938934,499,0,,
0.08322104066610336,549,0,,
0.42097970843315125,599,0,,
0.6895379424095154,649,0,,
0.590813398361206,699,0,,
0.4704661965370178,749,0,,
0.6457746028900146,799,0,,
0.02823767252266407,849,0,,
0.5918315052986145,899,0,,
0.6084296703338623,949,0,,
0.5935184359550476,999,0,,
0.04886728525161743,1049,0,,
0.5757589340209961,1099,0,,
0.6278380155563354,1149,0,,
0.5983015894889832,1199,0,,
0.04895704239606857,1249,0,,
0.03741747885942459,1299,0,,
0.3854181468486786,1349,0,,
0.5533983111381531,1399,0,,
0.6214858889579773,1449,0,,
0.3175957202911377,1499,0,,
0.48904064297676086,1549,0,,
0.19847233593463898,1599,0,,
0.0011070099426433444,1649,0,,
0.38857656717300415,1699,0,,
0.00882765557616949,1749,0,,
0.43094944953918457,1799,0,,
0.004713738337159157,1849,0,,
0.4088083505630493,1899,0,,
0.02890370413661003,1949,0,,
0.019798601046204567,1999,0,,
0.23981955647468567,2049,0,,
0.25942784547805786,2099,0,,
0.0009218392660841346,2149,0,,
0.055330950766801834,2199,0,,
0.4084739685058594,2249,0,,
0.16788192093372345,2299,0,,
0.21886073052883148,2349,0,,
0.16135534644126892,2399,0,,
0.06989128887653351,2449,0,,
0.15166939795017242,2499,0,,
0.2109733670949936,2549,0,,
0.10113499313592911,2599,0,,
0.05472889170050621,2649,0,,
0.0420924611389637,2699,0,,
0.08351707458496094,2749,0,,
0.020534919574856758,2799,0,,
,2811,0,0.1179894208908081,
0.12329446524381638,2849,1,,
0.05664209648966789,2899,1,,
0.08105851709842682,2949,1,,
0.08821292221546173,2999,1,,
0.1501820683479309,3049,1,,
0.02196226827800274,3099,1,,
0.08878963440656662,3149,1,,
0.004892794881016016,3199,1,,
0.3003445565700531,3249,1,,
0.01746821589767933,3299,1,,
0.08215924352407455,3349,1,,
0.038953959941864014,3399,1,,
