jaccard_sim,cosine_diff_i_final,cosine_diff_j_final,cosine_diff_i_j,diff_normalized_degree_cent,s_bias_mean
0.0,0.0,0.6893261968751973,0.0,0.05,3.3567651545205512
0.0,0.0,0.7244510986267996,0.0,0.05,6.1079986773877195
0.5,0.6893261968751973,1.0,0.6893261968751973,0.05,4.926755389584491
0.5,0.7244510986267996,1.0,0.7244510986267996,0.05,2.1062327316634826
0.0,0.0,0.7139382485962432,0.0,0.04,3.411665868944098
0.0,0.0,0.7002086668924693,0.0,0.04,6.630528137395558
0.5,0.7139382485962432,1.0000000000000002,0.7139382485962432,0.04,5.466457539009926
0.5,0.7002086668924693,1.0000000000000002,0.7002086668924693,0.04,2.169537878705712
0.0,0.0,0.7026456721493012,0.0,0.05,3.3018551952754738
0.0,0.0,0.7115399211638493,0.0,0.05,6.372753487883481
0.5,0.7026456721493012,1.0000000000000002,0.7026456721493012,0.05,5.192101702047338
0.5,0.7115399211638493,1.0000000000000002,0.7115399211638493,0.05,2.0883370331161193
0.0,0.0,0.6880915830092916,0.0,0.03333333333333333,3.0357048364054227
0.0,0.0,0.7256238511734349,0.0,0.03333333333333333,5.669974835480553
0.5,0.6880915830092916,1.0,0.6880915830092916,0.03333333333333333,4.629069484098732
0.5,0.7256238511734349,1.0,0.7256238511734349,0.03333333333333333,1.9063659175213314
0.0,0.0,0.7378498338268022,0.0,0.04,2.6714910116932797
0.0,0.0,0.6749649048074725,0.0,0.04,6.273387012101538
0.5,0.7378498338268022,1.0000000000000002,0.7378498338268022,0.04,5.231139158234255
0.5,0.6749649048074725,1.0000000000000002,0.6749649048074725,0.04,1.5371117626824777
0.0,0.0,0.7031231753960862,0.0,0.03333333333333333,2.641515215847248
0.0,0.0,0.7110680700333301,0.0,0.03333333333333333,5.475783200354999
0.5,0.7031231753960862,1.0,0.7031231753960862,0.03333333333333333,4.556240737521513
0.5,0.7110680700333301,1.0,0.7110680700333301,0.03333333333333333,1.5229472850634043
0.0,0.0,0.7625731761275453,0.0,0.03333333333333333,2.5686412740089035
0.0,0.0,0.6469019640183109,0.0,0.03333333333333333,6.678052931042465
